referencia;precio
6362;52,70 
6363;59,00 
7098;81,46 
0770;253,35 
0771;217,38 
0772;74,66 
0773;72,43 
0774;88,91 
0775;172,07 
6715;94,00 
6716;94,00 
6750;102,30 
6751;107,80 
6752;102,30 
6753;107,80 
6754;89,90 
6755;89,90 
1420;113,10 
1421;159,90 
1422;202,80 
1423;175,50 
1424;218,41 
1425;50,70 
1426;31,21 
1427;56,56 
1430;116,99 
1431;165,75 
1432;208,65 
1433;179,39 
1434;228,15 
1435;50,70 
1436;35,10 
1437;58,50 
5410;38,60 
5411;27,00 
6055;124,00 
5940;54,60 
5941;54,60 
5942;33,15 
5943;33,15 
5944;23,40 
5945;23,40 
3673;115,05 
3678;191,10 
5946;74,48 
5947;58,20 
5948;48,88 
